Date : 2023-01-21 11:36:14
Directory : /home/amit/buffer-ui
Total : 821 files,  77642 codes, 3788 comments, 3115 blanks, all 84545 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/Views/Common/InfoCard                                                                                                 |          2 |         31 |          2 |          6 |         39 |
| src/Views/Common/InfoTooltip                                                                                              |          1 |         12 |          0 |          3 |         15 |
| src/Views/Common/Missing                                                                                                  |          2 |         68 |          4 |          7 |         79 |
| src/Views/Common/Mobile                                                                                                   |          4 |        177 |          3 |         15 |        195 |
| src/Views/Common/Mobile/AlignerMobile                                                                                     |          2 |         73 |          1 |          7 |         81 |
| src/Views/Common/Mobile/AssetCellMobile                                                                                   |          2 |        104 |          2 |          8 |        114 |
| src/Views/Common/Navbar                                                                                                   |          7 |        446 |         20 |         33 |        499 |
| src/Views/Common/Notification                                                                                             |          3 |         77 |          0 |          8 |         85 |
| src/Views/Common/RowStrip                                                                                                 |          2 |         74 |          2 |          6 |         82 |
| src/Views/Common/SocialMedia                                                                                              |          5 |        171 |          0 |         17 |        188 |
| src/Views/Common/SocialMedia (Files)                                                                                      |          3 |        127 |          0 |         10 |        137 |
| src/Views/Common/SocialMedia/MobileFooter                                                                                 |          2 |         44 |          0 |          7 |         51 |
| src/Views/Common/TabList                                                                                                  |          2 |         67 |          1 |          7 |         75 |
| src/Views/Common/TabSwitch                                                                                                |          2 |         47 |          0 |          5 |         52 |
| src/Views/Common/TableComponents                                                                                          |          2 |        178 |          1 |         15 |        194 |
| src/Views/Common/TableMobile                                                                                              |          2 |        247 |          4 |         16 |        267 |
| src/Views/Common/Toast                                                                                                    |          2 |        285 |         27 |         19 |        331 |
| src/Views/Common/Toggler                                                                                                  |          2 |         61 |          0 |          5 |         66 |
| src/Views/Common/Tooltip                                                                                                  |          2 |        131 |          0 |         16 |        147 |
| src/Views/Common/Tooltips                                                                                                 |          2 |        149 |         20 |         13 |        182 |
| src/Views/Common/Tooltips (Files)                                                                                         |          1 |         35 |          1 |          5 |         41 |
| src/Views/Common/Tooltips/Display                                                                                         |          1 |        114 |         19 |          8 |        141 |
| src/Views/Common/TopBanner                                                                                                |          2 |         48 |          2 |          7 |         57 |
| src/Views/Common/Transition                                                                                               |          1 |         53 |          3 |          6 |         62 |
| src/Views/Common/Transitions                                                                                              |          4 |         80 |          1 |         12 |         93 |
| src/Views/Common/Transitions/Horizontal                                                                                   |          2 |         49 |          1 |          7 |         57 |
| src/Views/Common/Transitions/Vertical                                                                                     |          2 |         31 |          0 |          5 |         36 |
| src/Views/Common/TryTestnet                                                                                               |          2 |         83 |          7 |          9 |         99 |
| src/Views/Common/TypeChip                                                                                                 |          1 |          8 |          0 |          3 |         11 |
| src/Views/Common/UnorderedList                                                                                            |          2 |         53 |          1 |          6 |         60 |
| src/Views/Common/V2-Button                                                                                                |          2 |        112 |          0 |          6 |        118 |
| src/Views/Common/V2-Drawer                                                                                                |          2 |        156 |          1 |          9 |        166 |
| src/Views/Common/VersionChip                                                                                              |          2 |         30 |          0 |          5 |         35 |
| src/Views/Common/VerticalTabs                                                                                             |          2 |        129 |          3 |          7 |        139 |
| src/Views/Common/v2-AssetDropDown                                                                                         |          2 |        252 |          6 |         14 |        272 |
| src/Views/Common/v2-BufferInput                                                                                           |          2 |        139 |          7 |          8 |        154 |
| src/Views/Common/v2-OptionsDropdown                                                                                       |          2 |        138 |         12 |          7 |        157 |
| src/Views/Earn                                                                                                            |         27 |     10,184 |        164 |        139 |     10,487 |
| src/Views/Earn (Files)                                                                                                    |          2 |        267 |          3 |         18 |        288 |
| src/Views/Earn/Components                                                                                                 |          7 |        988 |         51 |         28 |      1,067 |
| src/Views/Earn/Config                                                                                                     |          9 |      6,698 |          0 |          2 |      6,700 |
| src/Views/Earn/Config (Files)                                                                                             |          1 |         45 |          0 |          2 |         47 |
| src/Views/Earn/Config/Abis                                                                                                |          8 |      6,653 |          0 |          0 |      6,653 |
| src/Views/Earn/Hooks                                                                                                      |          2 |      1,121 |         59 |         43 |      1,223 |
| src/Views/Earn/Modals                                                                                                     |          7 |      1,110 |         51 |         48 |      1,209 |
| src/Views/Faucet                                                                                                          |          3 |        454 |         20 |         13 |        487 |
| src/Views/Pro                                                                                                             |          1 |         22 |          0 |          1 |         23 |
| src/Views/Pro/Common                                                                                                      |          1 |         22 |          0 |          1 |         23 |
| src/Views/Referral                                                                                                        |         15 |      1,128 |         20 |         78 |      1,226 |
| src/Views/Referral (Files)                                                                                                |          2 |        471 |         17 |         28 |        516 |
| src/Views/Referral/Components                                                                                             |          4 |        166 |          1 |         16 |        183 |
| src/Views/Referral/Config                                                                                                 |          2 |        302 |          0 |          3 |        305 |
| src/Views/Referral/Hooks                                                                                                  |          5 |        166 |          1 |         27 |        194 |
| src/Views/Referral/Utils                                                                                                  |          2 |         23 |          1 |          4 |         28 |
| src/Views/V2-Leaderboard                                                                                                  |         25 |      2,094 |        422 |        156 |      2,672 |
| src/Views/V2-Leaderboard (Files)                                                                                          |          5 |        131 |          4 |         15 |        150 |
| src/Views/V2-Leaderboard/Components                                                                                       |          6 |        235 |          5 |         19 |        259 |
| src/Views/V2-Leaderboard/Components (Files)                                                                               |          2 |         77 |          0 |          5 |         82 |
| src/Views/V2-Leaderboard/Components/ContestFilterDD                                                                       |          1 |         74 |          0 |          8 |         82 |
| src/Views/V2-Leaderboard/Components/TableAligner                                                                          |          2 |         60 |          5 |          5 |         70 |
| src/Views/V2-Leaderboard/Components/TopData                                                                               |          1 |         24 |          0 |          1 |         25 |
| src/Views/V2-Leaderboard/Daily                                                                                            |          4 |        578 |         17 |         36 |        631 |
| src/Views/V2-Leaderboard/Hooks                                                                                            |          2 |        151 |         12 |         14 |        177 |
| src/Views/V2-Leaderboard/Incentivised                                                                                     |          1 |        161 |         91 |         11 |        263 |
| src/Views/V2-Leaderboard/PNL                                                                                              |          3 |        172 |         12 |         15 |        199 |
| src/Views/V2-Leaderboard/Sidebar                                                                                          |          2 |        260 |        178 |         27 |        465 |
| src/Views/V2-Leaderboard/Weekly                                                                                           |          2 |        406 |        103 |         19 |        528 |
| src/assets                                                                                                                |         16 |        338 |          0 |         47 |        385 |
| src/assets/Elements                                                                                                       |         10 |        238 |          0 |         29 |        267 |
| src/assets/Social                                                                                                         |          6 |        100 |          0 |         18 |        118 |
| src/assets/Social/DD                                                                                                      |          6 |        100 |          0 |         18 |        118 |
| src/atoms                                                                                                                 |          1 |         14 |          0 |          3 |         17 |
| src/contexts                                                                                                              |          7 |        544 |         13 |         39 |        596 |
| src/contexts (Files)                                                                                                      |          1 |         11 |          0 |          2 |         13 |
| src/contexts/Global                                                                                                       |          3 |        412 |          9 |         19 |        440 |
| src/contexts/Refresher                                                                                                    |          1 |         56 |          2 |         11 |         69 |
| src/contexts/Toast                                                                                                        |          2 |         65 |          2 |          7 |         74 |
| src/redux                                                                                                                 |          4 |        135 |          0 |          9 |        144 |
| src/redux (Files)                                                                                                         |          2 |         63 |          0 |          5 |         68 |
| src/redux/consents                                                                                                        |          1 |         29 |          0 |          2 |         31 |
| src/redux/persisted                                                                                                       |          1 |         43 |          0 |          2 |         45 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                  | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/amit/buffer-ui/.eslintrc.js                                                                                         | JavaScript         |         12 |         53 |          0 |         65 |
| /home/amit/buffer-ui/.prettierrc                                                                                          | JSON               |         10 |          0 |          1 |         11 |
| /home/amit/buffer-ui/config/axios.tsx                                                                                     | TypeScript React   |         43 |          0 |          6 |         49 |
| /home/amit/buffer-ui/config/connectors.ts                                                                                 | TypeScript         |         17 |          0 |          1 |         18 |
| /home/amit/buffer-ui/config/index.ts                                                                                      | TypeScript         |        460 |        128 |         26 |        614 |
| /home/amit/buffer-ui/fonts.css                                                                                            | CSS                |         28 |         86 |          4 |        118 |
| /home/amit/buffer-ui/index.css                                                                                            | CSS                |      2,297 |        132 |        431 |      2,860 |
| /home/amit/buffer-ui/index.html                                                                                           | HTML               |         15 |          0 |          1 |         16 |
| /home/amit/buffer-ui/package-lock.json                                                                                    | JSON               |     15,318 |          0 |          1 |     15,319 |
| /home/amit/buffer-ui/package.json                                                                                         | JSON               |         89 |          0 |          1 |         90 |
| /home/amit/buffer-ui/postcss.config.cjs                                                                                   | JavaScript         |          6 |          0 |          1 |          7 |
| /home/amit/buffer-ui/public/ComponentSVGS/CoinsUp.tsx                                                                     | TypeScript React   |         25 |          0 |          2 |         27 |
| /home/amit/buffer-ui/public/ComponentSVGS/DownTriangle.tsx                                                                | TypeScript React   |         16 |          0 |          3 |         19 |
| /home/amit/buffer-ui/public/ComponentSVGS/Edit.tsx                                                                        | TypeScript React   |         26 |          0 |          3 |         29 |
| /home/amit/buffer-ui/public/ComponentSVGS/Quick.tsx                                                                       | TypeScript React   |         19 |          0 |          3 |         22 |
| /home/amit/buffer-ui/public/ComponentSVGS/Star.tsx                                                                        | TypeScript React   |         18 |          0 |          2 |         20 |
| /home/amit/buffer-ui/public/ComponentSVGS/UpTriangle.tsx                                                                  | TypeScript React   |         16 |          0 |          3 |         19 |
| /home/amit/buffer-ui/public/ComponentSVGS/bufferLogo.tsx                                                                  | TypeScript React   |         21 |          0 |          3 |         24 |
| /home/amit/buffer-ui/public/ComponentSVGS/wallet.tsx                                                                      | TypeScript React   |         28 |          0 |          3 |         31 |
| /home/amit/buffer-ui/public/LeaderBoard/Daily.tsx                                                                         | TypeScript React   |          9 |          0 |          4 |         13 |
| /home/amit/buffer-ui/public/LeaderBoard/PNL.tsx                                                                           | TypeScript React   |         26 |          0 |          3 |         29 |
| /home/amit/buffer-ui/public/LeaderBoard/Trophy.tsx                                                                        | TypeScript React   |         35 |          1 |          3 |         39 |
| /home/amit/buffer-ui/public/Social/Blue/Discord.svg                                                                       | XML                |         29 |          0 |          1 |         30 |
| /home/amit/buffer-ui/public/Social/Blue/Telegram.svg                                                                      | XML                |          3 |          0 |          1 |          4 |
| /home/amit/buffer-ui/public/Social/Blue/Twitter.svg                                                                       | XML                |          3 |          0 |          1 |          4 |
| /home/amit/buffer-ui/public/Social/DD/discord.tsx                                                                         | TypeScript React   |         16 |          0 |          3 |         19 |
| /home/amit/buffer-ui/public/Social/DD/gitbook.tsx                                                                         | TypeScript React   |         12 |          0 |          3 |         15 |
| /home/amit/buffer-ui/public/Social/DD/github.tsx                                                                          | TypeScript React   |         19 |          0 |          3 |         22 |
| /home/amit/buffer-ui/public/Social/DD/medium.tsx                                                                          | TypeScript React   |          7 |          0 |          4 |         11 |
| /home/amit/buffer-ui/public/Social/DD/telegram.tsx                                                                        | TypeScript React   |         17 |          0 |          3 |         20 |
| /home/amit/buffer-ui/public/Social/DD/twitter.tsx                                                                         | TypeScript React   |         16 |          0 |          3 |         19 |
| /home/amit/buffer-ui/public/Social/Discord.svg                                                                            | XML                |         29 |          0 |          1 |         30 |
| /home/amit/buffer-ui/public/Social/Telegram.svg                                                                           | XML                |          3 |          0 |          1 |          4 |
